sample,site,wind,sediment.volume,density.pellets.m3,count,clear,white,black,red,blue,yellow,green,,
1,Ferrymead Bridge,SW,3125,0,0,0,0,0,0,0,0,0,,
2,Ferrymead Bridge,SW,3125,10240,32,22,1,5,0,4,0,0,,
3,Ferrymead Bridge,SW,3125,1280,4,3,0,1,0,0,0,0,,
4,Ferrymead Bridge,SW,3125,320,1,1,0,0,0,0,0,0,,
5,Ferrymead Bridge,SW,2375,107368,255,201,14,39,0,0,0,1,,
6,Humphreys Drive,SW,3125,36160,113,105,2,2,0,2,2,0,,
7,Humphreys Drive,SW,2187.5,355200,777,674,52,47,0,3,1,0,,
8,Humphreys Drive,SW,2750,198909,547,449,19,66,0,12,0,1,,
9,Humphreys Drive,SW,2343.75,11947,28,19,4,4,0,1,0,0,,
10,Humphreys Drive,SW,1125,64889,73,64,2,5,0,1,0,1,,
11,Sandy Point,SW,3125,68480,214,182,3,21,1,7,0,0,,
12,Sandy Point,SW,3125,43520,136,123,1,8,1,2,0,1,,
13,Sandy Point,SW,3125,272640,852,752,11,75,0,12,2,0,,
14,Sandy Point,SW,3125,4800,15,14,0,1,0,0,0,0,,
15,Sandy Point,SW,3125,3200,10,10,0,0,0,0,0,0,,
16,Bridge Street,E,3125,50560,158,139,12,4,0,3,0,0,,
17,Bridge Street,E,3125,5440,17,16,0,0,0,0,0,1,,
18,Bridge Street,E,3125,6080,19,17,0,1,0,1,0,0,,
19,Bridge Street,E,3125,0,0,0,0,0,0,0,0,0,,
20,Bridge Street,E,3125,80640,252,229,9,12,0,2,0,0,,
21,South New Brighton Park,E,3125,8960,28,24,0,4,0,0,0,0,,
22,South New Brighton Park,E,3125,18240,57,47,0,9,0,1,0,0,,
23,South New Brighton Park,E,3125,7680,24,21,1,2,0,0,0,0,,
24,South New Brighton Park,E,3125,1920,6,6,0,0,0,0,0,0,,
25,South New Brighton Park,E,3125,7040,22,21,1,0,0,0,0,0,,
26,Penguin Street,SE,3125,13440,42,40,1,1,0,0,0,0,,
27,Penguin Street,SE,3125,2240,7,5,0,2,0,0,0,0,,
28,Penguin Street,SE,3125,4480,14,12,0,2,0,0,0,0,,
29,Penguin Street,SE,3125,10560,33,29,1,3,0,0,0,0,,
30,Penguin Street,SE,3125,640,2,1,0,0,0,1,0,0,,
31,Southshore Spit,SE,3125,3200,10,8,0,2,0,0,0,0,,
32,Southshore Spit,SE,3125,5440,17,17,0,0,0,0,0,0,,
33,Southshore Spit,SE,3125,12800,40,36,1,3,0,0,0,0,,
34,Southshore Spit,SE,3125,4480,14,12,0,2,0,0,0,0,,
35,Southshore Spit,SE,3125,0,0,0,0,0,0,0,0,0,,
